batchsize,nb_hidden_layers,activation_function,lr,acc_train,acc_val
30,5,Sigmoid(),0.005,0.6559841859350665,0.661715380929564
120,5,Tanh(),0.001,0.9650173715107224,0.8780546238620028
64,3,ReLU(),0.001,0.9735833233497064,0.896741734547197
120,10,ReLU(),0.001,0.6958787588355098,0.6990896022999521
30,5,Sigmoid(),0.01,0.3160416916257338,0.3095352180162913
64,10,Tanh(),0.001,0.4113453935545705,0.4262098706276953
120,5,ReLU(),0.001,0.9523181981550257,0.8897939626257786
30,3,Sigmoid(),0.005,0.8174793338924164,0.7939626257786296
30,3,Sigmoid(),0.01,0.7724332095363604,0.7635361763296598
120,10,Tanh(),0.01,0.4729244039774769,0.47771921418303787
