nb_conv_layer, activation_function, pooling, kernel_size, stride, accuracy_train, accuracy_val
3,LeakyReLU(negative_slope=0.01),avg,5,1,0.9958667784832874,0.9889793962625779
5,ReLU(),max,5,1,0.9996405894333293,0.9896981312889315
5,LeakyReLU(negative_slope=0.01),avg,5,1,0.9976638313166407,0.9908960229995208
3,LeakyReLU(negative_slope=0.01),avg,5,2,0.9988019647777645,0.981312889314806
5,LeakyReLU(negative_slope=0.01),max,5,1,0.99730442074997,0.9858648778150455
3,ReLU(),avg,5,2,0.9988019647777645,0.9853857211308098
3,LeakyReLU(negative_slope=0.01),avg,8,2,0.999460884149994,0.9832295160517489
3,ReLU(),max,8,1,0.9981430454055349,0.9877815045519885
5,ReLU(),avg,5,1,0.9973643225110819,0.9911356013416387
5,LeakyReLU(negative_slope=0.01),avg,5,2,0.9994009823888822,0.981073310972688
